date,time,subject,handedness,trial_num,domain,valence,magnitude_hard,probability,EV,choice,choice_rt,n_clicks_required,n_clicks_executed,task_complete,is_catch
2025-05-27,23:34:12,1,Right,1,Money,Loss,1.0,0.12,0.12,easy,7.328115500000422,30,30,1,0
2025-05-27,23:34:29,1,Right,2,Money,Loss,3.07,0.88,2.7016,easy,2.2390912499977276,30,30,1,0
2025-05-27,23:34:42,1,Right,3,Money,Loss,1.69,0.12,0.20279999999999998,easy,0.6010542919975705,30,27,0,0
2025-05-27,23:34:55,1,Right,4,Money,Loss,1.92,0.12,0.2304,easy,3.2913502079900354,30,30,1,0
2025-05-27,23:35:09,1,Right,5,Money,Loss,2.61,0.12,0.3132,easy,1.1892194169922732,30,30,1,0
2025-05-27,23:35:22,1,Right,6,Money,Loss,2.61,0.5,1.305,easy,2.647385292002582,30,26,0,0
2025-05-27,23:35:37,1,Right,7,Money,Loss,1.92,0.88,1.6896,hard,4.275522041993099,24,24,1,0
2025-05-27,23:35:52,1,Right,8,Money,Loss,3.99,0.88,3.5112,hard,1.6498242079978809,24,23,0,0
2025-05-27,23:36:20,1,Right,9,Money,Loss,1.0,0.88,0.88,easy,2.5705747500032885,30,30,1,0
2025-05-27,23:36:33,1,Right,10,Money,Loss,4.0,0.5,2.0,easy,0.44523012499848846,30,30,1,0
2025-05-27,23:36:45,1,Right,11,Money,Loss,2.84,0.5,1.42,easy,1.1101779580058064,30,30,1,0
2025-05-27,23:36:56,1,Right,12,Money,Loss,1.23,0.5,0.615,easy,0.6174134579923702,30,30,1,0
2025-05-27,23:37:07,1,Right,13,Money,Loss,3.07,0.5,1.535,easy,1.958758749999106,30,30,1,0
2025-05-27,23:37:19,1,Right,14,Money,Loss,1.69,0.88,1.4871999999999999,easy,3.738108833989827,30,30,1,0
2025-05-27,23:37:34,1,Right,15,Money,Loss,1.92,0.5,0.96,easy,0.49831641699711327,30,30,1,0
2025-05-27,23:37:44,1,Right,16,Money,Loss,3.53,0.5,1.765,easy,0.6015803749905899,30,30,1,0
2025-05-27,23:37:55,1,Right,17,Money,Loss,2.38,0.5,1.19,hard,0.5016646669973852,24,24,1,0
2025-05-27,23:38:05,1,Right,18,Money,Loss,1.23,0.12,0.14759999999999998,hard,1.5151395840075566,24,24,1,0
2025-05-27,23:38:15,1,Right,19,Money,Loss,1.46,0.12,0.1752,hard,1.052779207995627,24,0,0,0
2025-05-27,23:38:42,1,Right,20,Money,Loss,1.46,0.5,0.73,hard,1.4235516249900684,24,12,0,0
2025-05-27,23:39:10,1,Right,21,Money,Loss,3.3,0.88,2.904,easy,1.2812615000002552,30,30,1,0
2025-05-27,23:39:22,1,Right,22,Money,Loss,1.69,0.5,0.845,easy,0.3936364999972284,30,30,1,0
2025-05-27,23:39:31,1,Right,23,Money,Loss,2.15,0.88,1.892,easy,0.6294768340012524,30,30,1,0
2025-05-27,23:39:42,1,Right,24,Money,Loss,3.3,0.12,0.39599999999999996,easy,0.6703422499995213,30,30,1,0
2025-05-27,23:39:53,1,Right,25,Money,Loss,4.0,0.5,2.0,easy,0.6641245420032647,30,30,1,1
2025-05-27,23:40:02,1,Right,26,Money,Loss,4.0,0.5,2.0,easy,4.3232906670018565,30,30,1,1
2025-05-27,23:40:15,1,Right,27,Money,Loss,2.61,0.88,2.2967999999999997,easy,1.9654207499988843,30,30,1,0
2025-05-27,23:40:27,1,Right,28,Money,Loss,2.84,0.12,0.3408,easy,0.7446457909973105,30,30,1,0
2025-05-27,23:40:36,1,Right,29,Money,Loss,3.76,0.5,1.88,easy,1.7530782079993514,30,30,1,0
2025-05-27,23:40:47,1,Right,30,Money,Loss,1.0,0.5,0.5,easy,1.387454041003366,30,30,1,0
2025-05-27,23:40:57,1,Right,31,Money,Loss,4.0,0.5,2.0,easy,2.7703219999966677,30,30,1,1
2025-05-27,23:41:09,1,Right,32,Money,Loss,2.15,0.12,0.258,easy,1.366888292002841,30,30,1,0
2025-05-27,23:41:21,1,Right,33,Money,Loss,3.07,0.12,0.36839999999999995,easy,3.0656774999952177,30,30,1,0
2025-05-27,23:41:33,1,Right,34,Money,Loss,4.0,0.88,3.52,easy,2.3451314579870086,30,15,0,0
2025-05-27,23:41:48,1,Right,35,Money,Loss,3.53,0.88,3.1064,easy,1.2209903330076486,30,15,0,0
2025-05-27,23:42:01,1,Right,36,Money,Loss,2.38,0.12,0.28559999999999997,hard,2.347057874998427,24,23,0,0
2025-05-27,23:42:30,1,Right,37,Money,Loss,1.23,0.88,1.0824,easy,3.5360875000042142,30,30,1,0
2025-05-27,23:42:43,1,Right,38,Money,Loss,2.15,0.5,1.075,easy,1.778236707992619,30,30,1,0
2025-05-27,23:42:55,1,Right,39,Money,Loss,2.38,0.88,2.0944,easy,0.8145538330136333,30,30,1,0
2025-05-27,23:43:06,1,Right,40,Money,Loss,3.76,0.88,3.3087999999999997,easy,3.089654249997693,30,30,1,0
2025-05-27,23:43:20,1,Right,41,Money,Loss,3.3,0.5,1.65,easy,5.419930125004612,30,30,1,0
2025-05-27,23:43:36,1,Right,42,Money,Loss,4.0,0.12,0.48,easy,0.6825217090081424,30,30,1,0
